winner,loser,wins,x,y
Bench Warmers FC,Bench Warmers FC,,0,0
Bench Warmers FC,Benford F.C.,4,1,0
Bench Warmers FC,HappyHaalandays,3,2,0
Bench Warmers FC,I_De_Zerbit,3,3,0
Bench Warmers FC,Mo Mané Mo Problems,3,4,0
Bench Warmers FC,RATABE,3,5,0
Bench Warmers FC,Sa Lah Land,1,6,0
Bench Warmers FC,Seanhampton FC,3,7,0
Benford F.C.,Bench Warmers FC,1,0,1
Benford F.C.,Benford F.C.,,1,1
Benford F.C.,HappyHaalandays,3,2,1
Benford F.C.,I_De_Zerbit,2,3,1
Benford F.C.,Mo Mané Mo Problems,4,4,1
Benford F.C.,RATABE,2,5,1
Benford F.C.,Sa Lah Land,1,6,1
Benford F.C.,Seanhampton FC,2,7,1
HappyHaalandays,Bench Warmers FC,2,0,2
HappyHaalandays,Benford F.C.,2,1,2
HappyHaalandays,HappyHaalandays,,2,2
HappyHaalandays,I_De_Zerbit,2,3,2
HappyHaalandays,Mo Mané Mo Problems,2,4,2
HappyHaalandays,RATABE,2,5,2
HappyHaalandays,Sa Lah Land,1,6,2
HappyHaalandays,Seanhampton FC,3,7,2
I_De_Zerbit,Bench Warmers FC,1,0,3
I_De_Zerbit,Benford F.C.,3,1,3
I_De_Zerbit,HappyHaalandays,3,2,3
I_De_Zerbit,I_De_Zerbit,,3,3
I_De_Zerbit,Mo Mané Mo Problems,4,4,3
I_De_Zerbit,RATABE,4,5,3
I_De_Zerbit,Sa Lah Land,2,6,3
I_De_Zerbit,Seanhampton FC,2,7,3
Mo Mané Mo Problems,Bench Warmers FC,2,0,4
Mo Mané Mo Problems,Benford F.C.,1,1,4
Mo Mané Mo Problems,HappyHaalandays,2,2,4
Mo Mané Mo Problems,I_De_Zerbit,2,3,4
Mo Mané Mo Problems,Mo Mané Mo Problems,,4,4
Mo Mané Mo Problems,RATABE,1,5,4
Mo Mané Mo Problems,Sa Lah Land,0,6,4
Mo Mané Mo Problems,Seanhampton FC,3,7,4
RATABE,Bench Warmers FC,2,0,5
RATABE,Benford F.C.,3,1,5
RATABE,HappyHaalandays,4,2,5
RATABE,I_De_Zerbit,1,3,5
RATABE,Mo Mané Mo Problems,4,4,5
RATABE,RATABE,,5,5
RATABE,Sa Lah Land,0,6,5
RATABE,Seanhampton FC,4,7,5
Sa Lah Land,Bench Warmers FC,4,0,6
Sa Lah Land,Benford F.C.,5,1,6
Sa Lah Land,HappyHaalandays,4,2,6
Sa Lah Land,I_De_Zerbit,3,3,6
Sa Lah Land,Mo Mané Mo Problems,5,4,6
Sa Lah Land,RATABE,4,5,6
Sa Lah Land,Sa Lah Land,,6,6
Sa Lah Land,Seanhampton FC,5,7,6
Seanhampton FC,Bench Warmers FC,3,0,7
Seanhampton FC,Benford F.C.,2,1,7
Seanhampton FC,HappyHaalandays,2,2,7
Seanhampton FC,I_De_Zerbit,3,3,7
Seanhampton FC,Mo Mané Mo Problems,2,4,7
Seanhampton FC,RATABE,1,5,7
Seanhampton FC,Sa Lah Land,0,6,7
Seanhampton FC,Seanhampton FC,,7,7
