W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw,season,win,draw,loss,points,win_pct,for,against,streak
3.0,0.0,3.0,9.0,0.5,2.0,880.5,878.5,3 (L),RATABE,4,6,14,,,,,,,,
3.0,0.0,3.0,9.0,0.5,10.0,863.5,815.5,2 (W),TAAco Bell,5,6,14,,,,,,,,
3.0,0.0,3.0,9.0,0.5,6.0,810.5,844.5,2 (L),Magpies United,6,6,14,,,,,,,,
3.0,0.0,3.0,9.0,0.5,5.0,717.5,768.0,1 (L),Benford FC,7,6,14,,,,,,,,
2.0,0.0,4.0,6.0,0.333,3.0,801.0,862.5,1 (W),Thottenham Hotsluts,8,6,14,,,,,,,,
1.0,0.0,5.0,3.0,0.167,4.0,846.5,885.5,2 (L),Seanhampton,9,6,14,,,,,,,,
1.0,0.0,5.0,3.0,0.167,7.0,796.0,921.5,4 (L),Concept of a FPLan,10,6,14,,,,,,,,
6.0,0.0,1.0,18.0,0.857,8.0,,921.0,5 (W),HappyHaalandays,1,7,14,,,,,,,,
5.0,0.0,2.0,15.0,0.714,9.0,,957.0,3 (W),Cheasle FC,2,7,14,,,,,,,,
5.0,0.0,2.0,15.0,0.714,1.0,,964.0,1 (L),New Zac on the Block,3,7,14,,,,,,,,
4.0,0.0,3.0,12.0,0.571,10.0,,909.0,3 (W),TAAco Bell,4,7,14,,,,,,,,
4.0,0.0,3.0,12.0,0.571,2.0,,,1 (W),RATABE,5,7,14,,,,,,,,
4.0,0.0,3.0,12.0,0.571,6.0,998.5,947.5,1 (W),Magpies United,6,7,14,,,,,,,,
3.0,0.0,4.0,9.0,0.429,5.0,814.5,938.0,2 (L),Benford FC,7,7,14,,,,,,,,
2.0,0.0,5.0,6.0,0.286,3.0,894.5,,1 (L),Thottenham Hotsluts,8,7,14,,,,,,,,
1.0,0.0,6.0,3.0,0.143,4.0,997.0,,3 (L),Seanhampton,9,7,14,,,,,,,,
1.0,0.0,6.0,3.0,0.143,7.0,899.0,,5 (L),Concept of a FPLan,10,7,14,,,,,,,,
6.0,0.0,2.0,18.0,0.75,9.0,,,4 (W),Cheasle FC,1,8,14,,,,,,,,
6.0,0.0,2.0,18.0,0.75,8.0,,,1 (L),HappyHaalandays,2,8,14,,,,,,,,
5.0,0.0,3.0,15.0,0.625,10.0,,,4 (W),TAAco Bell,3,8,14,,,,,,,,
5.0,0.0,3.0,15.0,0.625,1.0,,,2 (L),New Zac on the Block,4,8,14,,,,,,,,
