W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw,season,win,draw,loss,points,win_pct,for,against,streak
9.0,0.0,16.0,27.0,0.36,4.0,,,2 (W),Seanhampton,9,25,14,,,,,,,,
6.0,0.0,19.0,18.0,0.24,6.0,,,2 (W),Magpies United,10,25,14,,,,,,,,
20.0,0.0,6.0,60.0,0.769,10.0,,,10 (W),TAAco Bell,1,26,14,,,,,,,,
18.0,0.0,8.0,54.0,0.692,9.0,,,1 (W),Cheasle FC,2,26,14,,,,,,,,
15.0,0.0,11.0,45.0,0.577,1.0,,,4 (W),New Zac on the Block,3,26,14,,,,,,,,
14.0,0.0,12.0,42.0,0.538,8.0,,,1 (L),HappyHaalandays,4,26,14,,,,,,,,
14.0,0.0,12.0,42.0,0.538,3.0,,,1 (W),Thottenham Hotsluts,5,26,14,,,,,,,,
12.0,0.0,14.0,36.0,0.462,2.0,,,3 (L),RATABE,6,26,14,,,,,,,,
11.0,0.0,15.0,33.0,0.423,5.0,,,5 (L),Benford FC,7,26,14,,,,,,,,
10.0,0.0,16.0,30.0,0.385,4.0,,,3 (W),Seanhampton,8,26,14,,,,,,,,
10.0,0.0,16.0,30.0,0.385,7.0,,,2 (L),Concept of a FPLan,9,26,14,,,,,,,,
6.0,0.0,20.0,18.0,0.231,6.0,,,1 (L),Magpies United,10,26,14,,,,,,,,
20.0,0.0,7.0,60.0,0.741,10.0,,,1 (L),TAAco Bell,1,27,14,,,,,,,,
18.0,0.0,9.0,54.0,0.667,9.0,,,1 (L),Cheasle FC,2,27,14,,,,,,,,
16.0,0.0,11.0,48.0,0.593,1.0,,,5 (W),New Zac on the Block,3,27,14,,,,,,,,
15.0,0.0,12.0,45.0,0.556,8.0,,,1 (W),HappyHaalandays,4,27,14,,,,,,,,
14.0,0.0,13.0,42.0,0.519,3.0,,,1 (L),Thottenham Hotsluts,5,27,14,,,,,,,,
13.0,0.0,14.0,39.0,0.481,2.0,,,1 (W),RATABE,6,27,14,,,,,,,,
11.0,0.0,16.0,33.0,0.407,4.0,,,4 (W),Seanhampton,7,27,14,,,,,,,,
11.0,0.0,16.0,33.0,0.407,7.0,,,1 (W),Concept of a FPLan,8,27,14,,,,,,,,
11.0,0.0,16.0,33.0,0.407,5.0,,,6 (L),Benford FC,9,27,14,,,,,,,,
6.0,0.0,21.0,18.0,0.222,6.0,,,2 (L),Magpies United,10,27,14,,,,,,,,
20.0,0.0,8.0,60.0,0.714,10.0,,,2 (L),TAAco Bell,1,28,14,,,,,,,,
19.0,0.0,9.0,57.0,0.679,9.0,,,1 (W),Cheasle FC,2,28,14,,,,,,,,
17.0,0.0,11.0,51.0,0.607,1.0,,,6 (W),New Zac on the Block,3,28,14,,,,,,,,
15.0,0.0,13.0,45.0,0.536,8.0,,,1 (L),HappyHaalandays,4,28,14,,,,,,,,
14.0,0.0,14.0,42.0,0.5,2.0,,,2 (W),RATABE,5,28,14,,,,,,,,
14.0,0.0,14.0,42.0,0.5,3.0,,,2 (L),Thottenham Hotsluts,6,28,14,,,,,,,,
12.0,0.0,16.0,36.0,0.429,4.0,,,5 (W),Seanhampton,7,28,14,,,,,,,,
12.0,0.0,16.0,36.0,0.429,5.0,,,1 (W),Benford FC,8,28,14,,,,,,,,
11.0,0.0,17.0,33.0,0.393,7.0,,,1 (L),Concept of a FPLan,9,28,14,,,,,,,,
6.0,0.0,22.0,18.0,0.214,6.0,,,3 (L),Magpies United,10,28,14,,,,,,,,
21.0,0.0,8.0,63.0,0.724,10.0,,,1 (W),TAAco Bell,1,29,14,,,,,,,,
19.0,0.0,10.0,57.0,0.655,9.0,,,1 (L),Cheasle FC,2,29,14,,,,,,,,
18.0,0.0,11.0,54.0,0.621,1.0,,,7 (W),New Zac on the Block,3,29,14,,,,,,,,
16.0,0.0,13.0,48.0,0.552,8.0,,,1 (W),HappyHaalandays,4,29,14,,,,,,,,
15.0,0.0,14.0,45.0,0.517,2.0,,,3 (W),RATABE,5,29,14,,,,,,,,
14.0,0.0,15.0,42.0,0.483,3.0,,,3 (L),Thottenham Hotsluts,6,29,14,,,,,,,,
13.0,0.0,16.0,39.0,0.448,5.0,,,2 (W),Benford FC,7,29,14,,,,,,,,
12.0,0.0,17.0,36.0,0.414,4.0,,,1 (L),Seanhampton,8,29,14,,,,,,,,
11.0,0.0,18.0,33.0,0.379,7.0,,,2 (L),Concept of a FPLan,9,29,14,,,,,,,,
6.0,0.0,23.0,18.0,0.207,6.0,,,4 (L),Magpies United,10,29,14,,,,,,,,
21.0,0.0,9.0,63.0,0.7,10.0,,,1 (L),TAAco Bell,1,30,14,,,,,,,,
20.0,0.0,10.0,60.0,0.667,9.0,,,1 (W),Cheasle FC,2,30,14,,,,,,,,
18.0,0.0,12.0,54.0,0.6,1.0,,,1 (L),New Zac on the Block,3,30,14,,,,,,,,
16.0,0.0,14.0,48.0,0.533,2.0,,,4 (W),RATABE,4,30,14,,,,,,,,
16.0,0.0,14.0,48.0,0.533,8.0,,,1 (L),HappyHaalandays,5,30,14,,,,,,,,
15.0,0.0,15.0,45.0,0.5,3.0,,,1 (W),Thottenham Hotsluts,6,30,14,,,,,,,,
14.0,0.0,16.0,42.0,0.467,5.0,,,3 (W),Benford FC,7,30,14,,,,,,,,
12.0,0.0,18.0,36.0,0.4,4.0,,,2 (L),Seanhampton,8,30,14,,,,,,,,
12.0,0.0,18.0,36.0,0.4,7.0,,,1 (W),Concept of a FPLan,9,30,14,,,,,,,,
6.0,0.0,24.0,18.0,0.2,6.0,,,5 (L),Magpies United,10,30,14,,,,,,,,
21.0,0.0,10.0,63.0,0.677,9.0,,,2 (W),Cheasle FC,1,31,14,,,,,,,,
21.0,0.0,10.0,63.0,0.677,10.0,,,2 (L),TAAco Bell,2,31,14,,,,,,,,
19.0,0.0,12.0,57.0,0.613,1.0,,,1 (W),New Zac on the Block,3,31,14,,,,,,,,
17.0,0.0,14.0,51.0,0.548,8.0,,,1 (W),HappyHaalandays,4,31,14,,,,,,,,
16.0,0.0,15.0,48.0,0.516,2.0,,,1 (L),RATABE,5,31,14,,,,,,,,
15.0,0.0,16.0,45.0,0.484,3.0,,,1 (L),Thottenham Hotsluts,6,31,14,,,,,,,,
14.0,0.0,17.0,42.0,0.452,5.0,,,1 (L),Benford FC,7,31,14,,,,,,,,
13.0,0.0,18.0,39.0,0.419,7.0,,,2 (W),Concept of a FPLan,8,31,14,,,,,,,,
12.0,0.0,19.0,36.0,0.387,4.0,,,3 (L),Seanhampton,9,31,14,,,,,,,,
7.0,0.0,24.0,21.0,0.226,6.0,,,1 (W),Magpies United,10,31,14,,,,,,,,
22.0,0.0,10.0,66.0,0.688,9.0,,,3 (W),Cheasle FC,1,32,14,,,,,,,,
22.0,0.0,10.0,66.0,0.688,10.0,,,1 (W),TAAco Bell,2,32,14,,,,,,,,
19.0,0.0,13.0,57.0,0.594,1.0,,,1 (L),New Zac on the Block,3,32,14,,,,,,,,
18.0,0.0,14.0,54.0,0.562,8.0,,,2 (W),HappyHaalandays,4,32,14,,,,,,,,
16.0,0.0,16.0,48.0,0.5,2.0,,,2 (L),RATABE,5,32,14,,,,,,,,
15.0,0.0,17.0,45.0,0.469,3.0,,,2 (L),Thottenham Hotsluts,6,32,14,,,,,,,,
14.0,0.0,18.0,42.0,0.438,7.0,,,3 (W),Concept of a FPLan,7,32,14,,,,,,,,
14.0,0.0,18.0,42.0,0.438,5.0,,,2 (L),Benford FC,8,32,14,,,,,,,,
12.0,0.0,20.0,36.0,0.375,4.0,,,4 (L),Seanhampton,9,32,14,,,,,,,,
8.0,0.0,24.0,24.0,0.25,6.0,,,2 (W),Magpies United,10,32,14,,,,,,,,
23.0,0.0,10.0,69.0,0.697,9.0,,,4 (W),Cheasle FC,1,33,14,,,,,,,,
23.0,0.0,10.0,69.0,0.697,10.0,,,2 (W),TAAco Bell,2,33,14,,,,,,,,
19.0,0.0,14.0,57.0,0.576,1.0,,,2 (L),New Zac on the Block,3,33,14,,,,,,,,
19.0,0.0,14.0,57.0,0.576,8.0,,,3 (W),HappyHaalandays,4,33,14,,,,,,,,
17.0,0.0,16.0,51.0,0.515,2.0,,,1 (W),RATABE,5,33,14,,,,,,,,
15.0,0.0,18.0,45.0,0.455,7.0,,,4 (W),Concept of a FPLan,6,33,14,,,,,,,,
15.0,0.0,18.0,45.0,0.455,3.0,,,3 (L),Thottenham Hotsluts,7,33,14,,,,,,,,
14.0,0.0,19.0,42.0,0.424,5.0,,,3 (L),Benford FC,8,33,14,,,,,,,,
12.0,0.0,21.0,36.0,0.364,4.0,,,5 (L),Seanhampton,9,33,14,,,,,,,,
8.0,0.0,25.0,24.0,0.242,6.0,,,1 (L),Magpies United,10,33,14,,,,,,,,
24.0,0.0,10.0,72.0,0.706,10.0,,,3 (W),TAAco Bell,1,34,14,,,,,,,,
23.0,0.0,11.0,69.0,0.676,9.0,,,1 (L),Cheasle FC,2,34,14,,,,,,,,
20.0,0.0,14.0,60.0,0.588,1.0,,,1 (W),New Zac on the Block,3,34,14,,,,,,,,
19.0,0.0,15.0,57.0,0.559,8.0,,,1 (L),HappyHaalandays,4,34,14,,,,,,,,
18.0,0.0,16.0,54.0,0.529,2.0,,,2 (W),RATABE,5,34,14,,,,,,,,
16.0,0.0,18.0,48.0,0.471,7.0,,,5 (W),Concept of a FPLan,6,34,14,,,,,,,,
15.0,0.0,19.0,45.0,0.441,5.0,,,1 (W),Benford FC,7,34,14,,,,,,,,
15.0,0.0,19.0,45.0,0.441,3.0,,,4 (L),Thottenham Hotsluts,8,34,14,,,,,,,,
12.0,0.0,22.0,36.0,0.353,4.0,,,6 (L),Seanhampton,9,34,14,,,,,,,,
8.0,0.0,26.0,24.0,0.235,6.0,,,2 (L),Magpies United,10,34,14,,,,,,,,
25.0,0.0,10.0,75.0,0.714,10.0,,,4 (W),TAAco Bell,1,35,14,,,,,,,,
24.0,0.0,11.0,72.0,0.686,9.0,,,1 (W),Cheasle FC,2,35,14,,,,,,,,
21.0,0.0,14.0,63.0,0.6,1.0,,,2 (W),New Zac on the Block,3,35,14,,,,,,,,
19.0,0.0,16.0,57.0,0.543,8.0,,,2 (L),HappyHaalandays,4,35,14,,,,,,,,
18.0,0.0,17.0,54.0,0.514,2.0,,,1 (L),RATABE,5,35,14,,,,,,,,
16.0,0.0,19.0,48.0,0.457,7.0,,,1 (L),Concept of a FPLan,6,35,14,,,,,,,,
16.0,0.0,19.0,48.0,0.457,3.0,,,1 (W),Thottenham Hotsluts,7,35,14,,,,,,,,
15.0,0.0,20.0,45.0,0.429,5.0,,,1 (L),Benford FC,8,35,14,,,,,,,,
13.0,0.0,22.0,39.0,0.371,4.0,,,1 (W),Seanhampton,9,35,14,,,,,,,,
8.0,0.0,27.0,24.0,0.229,6.0,,,3 (L),Magpies United,10,35,14,,,,,,,,
26.0,0.0,10.0,78.0,0.722,10.0,,,5 (W),TAAco Bell,1,36,14,,,,,,,,
25.0,0.0,11.0,75.0,0.694,9.0,,,2 (W),Cheasle FC,2,36,14,,,,,,,,
21.0,0.0,15.0,63.0,0.583,1.0,,,1 (L),New Zac on the Block,3,36,14,,,,,,,,
20.0,0.0,16.0,60.0,0.556,8.0,,,1 (W),HappyHaalandays,4,36,14,,,,,,,,
18.0,0.0,18.0,54.0,0.5,2.0,,,2 (L),RATABE,5,36,14,,,,,,,,
17.0,0.0,19.0,51.0,0.472,3.0,,,2 (W),Thottenham Hotsluts,6,36,14,,,,,,,,
16.0,0.0,20.0,48.0,0.444,7.0,,,2 (L),Concept of a FPLan,7,36,14,,,,,,,,
16.0,0.0,20.0,48.0,0.444,5.0,,,1 (W),Benford FC,8,36,14,,,,,,,,
13.0,0.0,23.0,39.0,0.361,4.0,,,1 (L),Seanhampton,9,36,14,,,,,,,,
8.0,0.0,28.0,24.0,0.222,6.0,,,4 (L),Magpies United,10,36,14,,,,,,,,
26.0,0.0,10.0,78.0,0.722,10.0,,,5 (W),TAAco Bell,1,37,14,,,,,,,,
25.0,0.0,11.0,75.0,0.694,9.0,,,2 (W),Cheasle FC,2,37,14,,,,,,,,
21.0,0.0,15.0,63.0,0.583,1.0,,,1 (L),New Zac on the Block,3,37,14,,,,,,,,
20.0,0.0,16.0,60.0,0.556,8.0,,,1 (W),HappyHaalandays,4,37,14,,,,,,,,
18.0,0.0,18.0,54.0,0.5,2.0,,,2 (L),RATABE,5,37,14,,,,,,,,
17.0,0.0,19.0,51.0,0.472,3.0,,,2 (W),Thottenham Hotsluts,6,37,14,,,,,,,,
16.0,0.0,20.0,48.0,0.444,7.0,,,2 (L),Concept of a FPLan,7,37,14,,,,,,,,
16.0,0.0,20.0,48.0,0.444,5.0,,,1 (W),Benford FC,8,37,14,,,,,,,,
13.0,0.0,23.0,39.0,0.361,4.0,,,1 (L),Seanhampton,9,37,14,,,,,,,,
8.0,0.0,28.0,24.0,0.222,6.0,,,4 (L),Magpies United,10,37,14,,,,,,,,
26.0,0.0,10.0,78.0,0.722,10.0,,,5 (W),TAAco Bell,1,38,14,,,,,,,,
25.0,0.0,11.0,75.0,0.694,9.0,,,2 (W),Cheasle FC,2,38,14,,,,,,,,
21.0,0.0,15.0,63.0,0.583,1.0,,,1 (L),New Zac on the Block,3,38,14,,,,,,,,
20.0,0.0,16.0,60.0,0.556,8.0,,,1 (W),HappyHaalandays,4,38,14,,,,,,,,
18.0,0.0,18.0,54.0,0.5,2.0,,,2 (L),RATABE,5,38,14,,,,,,,,
17.0,0.0,19.0,51.0,0.472,3.0,,,2 (W),Thottenham Hotsluts,6,38,14,,,,,,,,
16.0,0.0,20.0,48.0,0.444,7.0,,,2 (L),Concept of a FPLan,7,38,14,,,,,,,,
16.0,0.0,20.0,48.0,0.444,5.0,,,1 (W),Benford FC,8,38,14,,,,,,,,
13.0,0.0,23.0,39.0,0.361,4.0,,,1 (L),Seanhampton,9,38,14,,,,,,,,
8.0,0.0,28.0,24.0,0.222,6.0,,,4 (L),Magpies United,10,38,14,,,,,,,,
,,,,,,,,,RATABE,1,1,12,1.0,0.0,0.0,3.0,1.0,68.8,33.5,1 (W)
,,,,,,,,,Sa Lah Land,2,1,12,1.0,0.0,0.0,3.0,1.0,63.4,43.2,1 (W)
,,,,,,,,,I_De_Zerbit,3,1,12,1.0,0.0,0.0,3.0,1.0,62.9,25.0,1 (W)
,,,,,,,,,Seanhampton FC,4,1,12,1.0,0.0,0.0,3.0,1.0,58.4,52.3,1 (W)
,,,,,,,,,Bench Warmers FC,5,1,12,0.0,0.0,1.0,0.0,0.0,52.3,58.4,1 (L)
,,,,,,,,,Benford F.C.,6,1,12,0.0,0.0,1.0,0.0,0.0,43.2,63.4,1 (L)
,,,,,,,,,HappyHaalandays,7,1,12,0.0,0.0,1.0,0.0,0.0,33.5,68.8,1 (L)
,,,,,,,,,Mo Mané Mo Problems,8,1,12,0.0,0.0,1.0,0.0,0.0,25.0,62.9,1 (L)
,,,,,,,,,RATABE,1,2,12,2.0,0.0,0.0,6.0,1.0,129.2,74.1,2 (W)
,,,,,,,,,Sa Lah Land,2,2,12,2.0,0.0,0.0,6.0,1.0,120.8,88.8,2 (W)
,,,,,,,,,I_De_Zerbit,3,2,12,1.0,0.0,1.0,3.0,0.5,117.8,85.0,1 (L)
,,,,,,,,,HappyHaalandays,4,2,12,1.0,0.0,1.0,3.0,0.5,93.5,123.7,1 (W)
,,,,,,,,,Seanhampton FC,5,2,12,1.0,0.0,1.0,3.0,0.5,86.2,97.3,1 (L)
,,,,,,,,,Mo Mané Mo Problems,6,2,12,1.0,0.0,1.0,3.0,0.5,70.0,90.7,1 (W)
,,,,,,,,,Bench Warmers FC,7,2,12,0.0,0.0,2.0,0.0,0.0,97.9,115.8,2 (L)
,,,,,,,,,Benford F.C.,8,2,12,0.0,0.0,2.0,0.0,0.0,83.8,123.8,2 (L)
,,,,,,,,,Sa Lah Land,1,3,12,3.0,0.0,0.0,9.0,1.0,201.5,117.1,3 (W)
,,,,,,,,,RATABE,2,3,12,3.0,0.0,0.0,9.0,1.0,191.6,114.2,3 (W)
,,,,,,,,,I_De_Zerbit,3,3,12,2.0,0.0,1.0,6.0,0.667,167.1,122.7,1 (W)
,,,,,,,,,Benford F.C.,4,3,12,1.0,0.0,2.0,3.0,0.333,137.2,166.8,1 (W)
,,,,,,,,,HappyHaalandays,5,3,12,1.0,0.0,2.0,3.0,0.333,136.5,177.1,1 (L)
,,,,,,,,,Seanhampton FC,6,3,12,1.0,0.0,2.0,3.0,0.333,123.9,146.6,2 (L)
,,,,,,,,,Mo Mané Mo Problems,7,3,12,1.0,0.0,2.0,3.0,0.333,98.3,171.4,1 (L)
,,,,,,,,,Bench Warmers FC,8,3,12,0.0,0.0,3.0,0.0,0.0,138.0,178.2,3 (L)
,,,,,,,,,Sa Lah Land,1,4,12,3.0,0.0,1.0,9.0,0.75,255.4,199.5,1 (L)
,,,,,,,,,I_De_Zerbit,2,4,12,3.0,0.0,1.0,9.0,0.75,249.5,176.6,2 (W)
,,,,,,,,,RATABE,3,4,12,3.0,0.0,1.0,9.0,0.75,236.4,178.9,1 (L)
,,,,,,,,,HappyHaalandays,4,4,12,2.0,0.0,2.0,6.0,0.5,191.6,228.9,1 (W)
,,,,,,,,,Mo Mané Mo Problems,5,4,12,2.0,0.0,2.0,6.0,0.5,163.0,216.2,1 (W)
,,,,,,,,,Bench Warmers FC,6,4,12,1.0,0.0,3.0,3.0,0.25,195.6,230.1,1 (W)
,,,,,,,,,Benford F.C.,7,4,12,1.0,0.0,3.0,3.0,0.25,189.1,224.4,1 (L)
,,,,,,,,,Seanhampton FC,8,4,12,1.0,0.0,3.0,3.0,0.25,175.7,201.7,3 (L)
,,,,,,,,,Sa Lah Land,1,5,12,4.0,0.0,1.0,12.0,0.8,309.6,235.4,1 (W)
,,,,,,,,,I_De_Zerbit,2,5,12,4.0,0.0,1.0,12.0,0.8,297.4,219.4,3 (W)
,,,,,,,,,RATABE,3,5,12,3.0,0.0,2.0,9.0,0.6,279.2,226.8,2 (L)
,,,,,,,,,Bench Warmers FC,4,5,12,2.0,0.0,3.0,6.0,0.4,252.4,280.3,2 (W)
,,,,,,,,,HappyHaalandays,5,5,12,2.0,0.0,3.0,6.0,0.4,241.8,285.7,1 (L)
,,,,,,,,,Benford F.C.,6,5,12,2.0,0.0,3.0,6.0,0.4,234.8,263.5,1 (W)
,,,,,,,,,Mo Mané Mo Problems,7,5,12,2.0,0.0,3.0,6.0,0.4,202.1,261.9,1 (L)
,,,,,,,,,Seanhampton FC,8,5,12,1.0,0.0,4.0,3.0,0.2,211.6,255.9,4 (L)
,,,,,,,,,Sa Lah Land,1,6,12,5.0,0.0,1.0,15.0,0.833,361.9,265.2,2 (W)
,,,,,,,,,RATABE,2,6,12,4.0,0.0,2.0,12.0,0.667,355.9,267.4,1 (W)
,,,,,,,,,I_De_Zerbit,3,6,12,4.0,0.0,2.0,12.0,0.667,338.4,281.0,1 (L)
,,,,,,,,,Benford F.C.,4,6,12,3.0,0.0,3.0,9.0,0.5,296.4,304.5,2 (W)
,,,,,,,,,Mo Mané Mo Problems,5,6,12,3.0,0.0,3.0,9.0,0.5,244.2,295.4,1 (W)
,,,,,,,,,Bench Warmers FC,6,6,12,2.0,0.0,4.0,6.0,0.333,285.9,322.4,1 (L)
,,,,,,,,,HappyHaalandays,7,6,12,2.0,0.0,4.0,6.0,0.333,271.6,338.0,2 (L)
,,,,,,,,,Seanhampton FC,8,6,12,1.0,0.0,5.0,3.0,0.167,252.2,332.6,5 (L)
,,,,,,,,,Sa Lah Land,1,7,12,5.0,1.0,1.0,16.0,0.786,361.9,265.2,3 (Und)
,,,,,,,,,RATABE,2,7,12,4.0,1.0,2.0,13.0,0.643,355.9,267.4,2 (Und)
,,,,,,,,,I_De_Zerbit,3,7,12,4.0,1.0,2.0,13.0,0.643,338.4,281.0,2 (Wnl)
,,,,,,,,,Benford F.C.,4,7,12,3.0,1.0,3.0,10.0,0.5,296.4,304.5,3 (Und)
,,,,,,,,,Mo Mané Mo Problems,5,7,12,3.0,1.0,3.0,10.0,0.5,244.2,295.4,2 (Und)
,,,,,,,,,Bench Warmers FC,6,7,12,2.0,1.0,4.0,7.0,0.357,285.9,322.4,2 (Wnl)
,,,,,,,,,HappyHaalandays,7,7,12,2.0,1.0,4.0,7.0,0.357,271.6,338.0,3 (Wnl)
,,,,,,,,,Seanhampton FC,8,7,12,1.0,1.0,5.0,4.0,0.214,252.2,332.6,6 (Wnl)
,,,,,,,,,Sa Lah Land,1,8,12,6.0,1.0,1.0,19.0,0.812,416.4,305.8,4 (Und)
,,,,,,,,,I_De_Zerbit,2,8,12,5.0,1.0,2.0,16.0,0.688,384.3,298.3,2 (Und)
,,,,,,,,,RATABE,3,8,12,4.0,1.0,3.0,13.0,0.562,401.2,313.9,2 (Wnl)
,,,,,,,,,Benford F.C.,4,8,12,3.0,1.0,4.0,10.0,0.438,337.0,359.0,2 (Wnl)
,,,,,,,,,Bench Warmers FC,5,8,12,3.0,1.0,4.0,10.0,0.438,332.3,357.9,2 (Und)
,,,,,,,,,HappyHaalandays,6,8,12,3.0,1.0,4.0,10.0,0.438,318.1,383.3,2 (Und)
,,,,,,,,,Mo Mané Mo Problems,7,8,12,3.0,1.0,4.0,10.0,0.438,261.5,341.3,2 (Wnl)
,,,,,,,,,Seanhampton FC,8,8,12,1.0,1.0,6.0,4.0,0.188,287.7,379.0,7 (Wnl)
,,,,,,,,,Sa Lah Land,1,9,12,7.0,1.0,1.0,22.0,0.833,477.3,345.2,5 (Und)
,,,,,,,,,RATABE,2,9,12,5.0,1.0,3.0,16.0,0.611,466.5,376.6,1 (W)
,,,,,,,,,I_De_Zerbit,3,9,12,5.0,1.0,3.0,16.0,0.611,424.3,346.8,1 (L)
,,,,,,,,,HappyHaalandays,4,9,12,4.0,1.0,4.0,13.0,0.5,366.6,423.3,3 (Und)
,,,,,,,,,Mo Mané Mo Problems,5,9,12,4.0,1.0,4.0,13.0,0.5,307.0,382.0,1 (W)
,,,,,,,,,Benford F.C.,6,9,12,3.0,1.0,5.0,10.0,0.389,399.7,424.3,3 (Wnl)
,,,,,,,,,Bench Warmers FC,7,9,12,3.0,1.0,5.0,10.0,0.389,371.7,418.8,1 (L)
,,,,,,,,,Seanhampton FC,8,9,12,1.0,1.0,7.0,4.0,0.167,328.4,424.5,8 (Wnl)
,,,,,,,,,Sa Lah Land,1,10,12,8.0,1.0,1.0,25.0,0.85,538.9,382.0,6 (Und)
,,,,,,,,,I_De_Zerbit,2,10,12,6.0,1.0,3.0,19.0,0.65,496.8,386.4,1 (W)
,,,,,,,,,RATABE,3,10,12,5.0,1.0,4.0,16.0,0.55,512.8,439.5,1 (L)
,,,,,,,,,HappyHaalandays,4,10,12,5.0,1.0,4.0,16.0,0.55,424.4,465.9,4 (Und)
,,,,,,,,,Bench Warmers FC,5,10,12,4.0,1.0,5.0,13.0,0.45,434.6,465.1,1 (W)
,,,,,,,,,Mo Mané Mo Problems,6,10,12,4.0,1.0,5.0,13.0,0.45,343.8,443.6,1 (L)
,,,,,,,,,Benford F.C.,7,10,12,3.0,1.0,6.0,10.0,0.35,442.3,482.1,4 (Wnl)
,,,,,,,,,Seanhampton FC,8,10,12,1.0,1.0,8.0,4.0,0.15,368.0,497.0,9 (Wnl)
,,,,,,,,,Sa Lah Land,1,11,12,9.0,1.0,1.0,28.0,0.864,607.4,433.4,7 (Und)
,,,,,,,,,RATABE,2,11,12,6.0,1.0,4.0,19.0,0.591,566.9,478.3,1 (W)
,,,,,,,,,I_De_Zerbit,3,11,12,6.0,1.0,4.0,19.0,0.591,548.2,454.9,1 (L)
,,,,,,,,,Bench Warmers FC,4,11,12,5.0,1.0,5.0,16.0,0.5,490.4,517.4,2 (W)
,,,,,,,,,HappyHaalandays,5,11,12,5.0,1.0,5.0,16.0,0.5,450.2,514.7,1 (L)
,,,,,,,,,Mo Mané Mo Problems,6,11,12,4.0,1.0,6.0,13.0,0.409,382.6,497.7,2 (L)
,,,,,,,,,Benford F.C.,7,11,12,3.0,1.0,7.0,10.0,0.318,494.6,537.9,5 (Wnl)
,,,,,,,,,Seanhampton FC,8,11,12,2.0,1.0,8.0,7.0,0.227,416.8,522.8,1 (W)
,,,,,,,,,Sa Lah Land,1,12,12,10.0,1.0,1.0,31.0,0.875,660.1,483.9,8 (Und)
,,,,,,,,,I_De_Zerbit,2,12,12,7.0,1.0,4.0,22.0,0.625,599.9,500.4,1 (W)
,,,,,,,,,RATABE,3,12,12,6.0,1.0,5.0,19.0,0.542,612.4,530.0,1 (L)
,,,,,,,,,Bench Warmers FC,4,12,12,6.0,1.0,5.0,19.0,0.542,542.9,549.9,3 (W)
,,,,,,,,,HappyHaalandays,5,12,12,5.0,1.0,6.0,16.0,0.458,482.7,567.2,2 (L)
,,,,,,,,,Mo Mané Mo Problems,6,12,12,5.0,1.0,6.0,16.0,0.458,439.6,539.5,1 (W)
,,,,,,,,,Benford F.C.,7,12,12,3.0,1.0,8.0,10.0,0.292,536.4,594.9,6 (Wnl)
,,,,,,,,,Seanhampton FC,8,12,12,2.0,1.0,9.0,7.0,0.208,467.3,575.5,1 (L)
,,,,,,,,,Sa Lah Land,1,13,12,10.0,1.0,2.0,31.0,0.808,695.8,545.1,1 (L)
,,,,,,,,,I_De_Zerbit,2,13,12,8.0,1.0,4.0,25.0,0.654,645.3,537.9,2 (W)
,,,,,,,,,RATABE,3,13,12,7.0,1.0,5.0,22.0,0.577,672.2,569.4,1 (W)
,,,,,,,,,Bench Warmers FC,4,13,12,6.0,1.0,6.0,19.0,0.5,582.6,592.1,1 (L)
,,,,,,,,,HappyHaalandays,5,13,12,6.0,1.0,6.0,19.0,0.5,543.9,602.9,1 (W)
,,,,,,,,,Mo Mané Mo Problems,6,13,12,6.0,1.0,6.0,19.0,0.5,481.8,579.2,2 (W)
,,,,,,,,,Benford F.C.,7,13,12,3.0,1.0,9.0,10.0,0.269,573.9,640.3,7 (Wnl)
,,,,,,,,,Seanhampton FC,8,13,12,2.0,1.0,10.0,7.0,0.192,506.7,635.3,2 (L)
,,,,,,,,,Sa Lah Land,1,14,12,11.0,1.0,2.0,34.0,0.821,770.1,615.4,1 (W)
,,,,,,,,,I_De_Zerbit,2,14,12,8.0,1.0,5.0,25.0,0.607,681.8,599.5,1 (L)
,,,,,,,,,RATABE,3,14,12,7.0,1.0,6.0,22.0,0.536,742.5,643.7,1 (L)
,,,,,,,,,Bench Warmers FC,4,14,12,7.0,1.0,6.0,22.0,0.536,644.2,628.6,1 (W)
,,,,,,,,,HappyHaalandays,5,14,12,7.0,1.0,6.0,22.0,0.536,603.3,652.4,2 (W)
,,,,,,,,,Mo Mané Mo Problems,6,14,12,6.0,1.0,7.0,19.0,0.464,531.3,638.6,1 (L)
,,,,,,,,,Benford F.C.,7,14,12,4.0,1.0,9.0,13.0,0.321,640.1,689.2,1 (W)
,,,,,,,,,Seanhampton FC,8,14,12,2.0,1.0,11.0,7.0,0.179,555.6,701.5,3 (L)
,,,,,,,,,Sa Lah Land,1,15,12,12.0,1.0,2.0,37.0,0.833,839.8,659.4,2 (W)
,,,,,,,,,I_De_Zerbit,2,15,12,9.0,1.0,5.0,28.0,0.633,736.2,641.1,1 (W)
,,,,,,,,,RATABE,3,15,12,8.0,1.0,6.0,25.0,0.567,788.3,681.9,1 (W)
,,,,,,,,,Bench Warmers FC,4,15,12,8.0,1.0,6.0,25.0,0.567,701.1,656.2,2 (W)
,,,,,,,,,HappyHaalandays,5,15,12,7.0,1.0,7.0,22.0,0.5,641.5,698.2,1 (L)
,,,,,,,,,Mo Mané Mo Problems,6,15,12,6.0,1.0,8.0,19.0,0.433,572.9,693.0,2 (L)
