W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw
1,0,0,3,1.0,4,193.0,169.5,1 (W),Benford FC,1,1
1,0,0,3,1.0,3,178.0,103.0,1 (W),Morning Timber,2,1
1,0,0,3,1.0,5,155.0,142.5,1 (W),Magpies United,3,1
1,0,0,3,1.0,10,136.5,116.5,1 (W),GAK-PO-TAY-TOES,4,1
1,0,0,3,1.0,8,119.5,99.0,1 (W),Cheasle FC,5,1
0,0,1,0,0.0,7,169.5,193.0,1 (L),Seanhampton,6,1
0,0,1,0,0.0,9,142.5,155.0,1 (L),Mattchester United,7,1
0,0,1,0,0.0,2,116.5,136.5,1 (L),Thottenham Hotsluts,8,1
0,0,1,0,0.0,6,103.0,178.0,1 (L),Walton Goggonzola,9,1
0,0,1,0,0.0,1,99.0,119.5,1 (L),FPL 5: AutoPick Strikes Back,10,1
2,0,0,6,1.0,10,334.0,224.0,2 (W),GAK-PO-TAY-TOES,1,2
2,0,0,6,1.0,8,271.0,209.5,2 (W),Cheasle FC,2,2
1,0,1,3,0.5,3,308.5,244.0,1 (L),Morning Timber,3,2
1,0,1,3,0.5,4,303.5,321.0,1 (L),Benford FC,4,2
1,0,1,3,0.5,9,283.5,285.5,1 (W),Mattchester United,5,2
1,0,1,3,0.5,7,280.5,293.5,1 (W),Seanhampton,6,2
1,0,1,3,0.5,5,279.5,283.0,1 (L),Magpies United,7,2
1,0,1,3,0.5,2,257.0,261.0,1 (W),Thottenham Hotsluts,8,2
0,0,2,0,0.0,1,206.5,317.0,2 (L),FPL 5: AutoPick Strikes Back,9,2
0,0,2,0,0.0,6,203.5,289.0,2 (L),Walton Goggonzola,10,2
3,0,0,9,1.0,8,397.0,307.0,3 (W),Cheasle FC,1,3
2,0,1,6,0.667,10,466.0,366.0,1 (L),GAK-PO-TAY-TOES,2,3
2,0,1,6,0.667,3,448.0,350.5,1 (W),Morning Timber,3,3
2,0,1,6,0.667,4,445.5,453.0,1 (W),Benford FC,4,3
2,0,1,6,0.667,9,431.5,396.0,2 (W),Mattchester United,5,3
2,0,1,6,0.667,5,397.0,375.0,1 (W),Magpies United,6,3
1,0,2,3,0.333,7,378.0,419.5,1 (L),Seanhampton,7,3
