W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw
1,0,2,3,0.333,2,363.5,400.5,1 (L),Thottenham Hotsluts,8,3
0,0,3,0,0.0,6,314.0,437.0,3 (L),Walton Goggonzola,9,3
0,0,3,0,0.0,1,298.5,434.5,3 (L),FPL 5: AutoPick Strikes Back,10,3
4,0,0,12,1.0,8,567.0,405.5,4 (W),Cheasle FC,1,4
3,0,1,9,0.75,10,617.5,491.5,1 (W),GAK-PO-TAY-TOES,2,4
3,0,1,9,0.75,4,616.5,600.5,2 (W),Benford FC,3,4
3,0,1,9,0.75,3,593.0,470.5,2 (W),Morning Timber,4,4
3,0,1,9,0.75,9,585.5,532.5,3 (W),Mattchester United,5,4
2,0,2,6,0.5,5,544.5,546.0,1 (L),Magpies United,6,4
1,0,3,3,0.25,7,503.5,571.0,2 (L),Seanhampton,7,4
1,0,3,3,0.25,2,500.0,554.5,2 (L),Thottenham Hotsluts,8,4
0,0,4,0,0.0,1,418.5,579.5,4 (L),FPL 5: AutoPick Strikes Back,9,4
0,0,4,0,0.0,6,412.5,607.0,4 (L),Walton Goggonzola,10,4
5,0,0,15,1.0,8,673.0,508.5,5 (W),Cheasle FC,1,5
4,0,1,12,0.8,9,724.5,626.5,4 (W),Mattchester United,2,5
4,0,1,12,0.8,3,715.0,590.0,3 (W),Morning Timber,3,5
3,0,2,9,0.6,4,736.0,722.5,1 (L),Benford FC,4,5
3,0,2,9,0.6,10,720.5,597.5,1 (L),GAK-PO-TAY-TOES,5,5
2,0,3,6,0.4,5,663.5,697.5,2 (L),Magpies United,6,5
2,0,3,6,0.4,7,655.0,690.0,1 (W),Seanhampton,7,5
2,0,3,6,0.4,2,646.0,681.0,1 (W),Thottenham Hotsluts,8,5
0,0,5,0,0.0,6,539.0,753.0,5 (L),Walton Goggonzola,9,5
0,0,5,0,0.0,1,512.5,718.5,5 (L),FPL 5: AutoPick Strikes Back,10,5
5,0,1,15,0.833,9,836.0,727.5,5 (W),Mattchester United,1,6
5,0,1,15,0.833,8,821.0,671.0,1 (L),Cheasle FC,2,6
4,0,2,12,0.667,10,870.0,734.0,1 (W),GAK-PO-TAY-TOES,3,6
4,0,2,12,0.667,3,817.0,730.5,1 (L),Morning Timber,4,6
3,0,3,9,0.5,4,837.0,834.0,2 (L),Benford FC,5,6
3,0,3,9,0.5,5,826.0,845.5,1 (W),Magpies United,6,6
3,0,3,9,0.5,7,795.5,792.0,2 (W),Seanhampton,7,6
2,1,3,7,0.417,2,752.5,787.5,2 (Und),Thottenham Hotsluts,8,6
0,1,5,1,0.083,1,619.0,825.0,6 (Wnl),FPL 5: AutoPick Strikes Back,9,6
0,0,6,0,0.0,6,675.5,902.5,6 (L),Walton Goggonzola,10,6
6,0,1,18,0.857,9,983.0,856.5,6 (W),Mattchester United,1,7
5,0,2,15,0.714,10,,838.5,2 (W),GAK-PO-TAY-TOES,2,7
5,0,2,15,0.714,3,987.0,874.5,1 (W),Morning Timber,3,7
5,0,2,15,0.714,8,965.0,841.0,2 (L),Cheasle FC,4,7
3,1,3,10,0.5,2,906.5,918.0,3 (Und),Thottenham Hotsluts,5,7
3,0,4,9,0.429,4,967.5,988.0,3 (L),Benford FC,6,7
3,0,4,9,0.429,5,930.5,,1 (L),Magpies United,7,7
3,0,4,9,0.429,7,924.5,939.0,1 (L),Seanhampton,8,7
1,1,5,4,0.214,1,753.5,899.0,2 (Und),FPL 5: AutoPick Strikes Back,9,7
0,0,7,0,0.0,6,749.5,,7 (L),Walton Goggonzola,10,7
7,0,1,21,0.875,9,,,7 (W),Mattchester United,1,8
6,0,2,18,0.75,3,,,2 (W),Morning Timber,2,8
5,0,3,15,0.625,10,,,1 (L),GAK-PO-TAY-TOES,3,8
5,0,3,15,0.625,8,,,3 (L),Cheasle FC,4,8
4,0,4,12,0.5,4,,,1 (W),Benford FC,5,8
4,0,4,12,0.5,5,,,1 (W),Magpies United,6,8
4,0,4,12,0.5,7,,,1 (W),Seanhampton,7,8
3,1,4,10,0.438,2,,,1 (L),Thottenham Hotsluts,8,8
1,1,6,4,0.188,1,876.0,,1 (L),FPL 5: AutoPick Strikes Back,9,8
0,0,8,0,0.0,6,869.5,,8 (L),Walton Goggonzola,10,8
8,0,1,24,0.889,9,,,8 (W),Mattchester United,1,9
6,0,3,18,0.667,3,,,1 (L),Morning Timber,2,9
5,0,4,15,0.556,10,,,2 (L),GAK-PO-TAY-TOES,3,9
5,0,4,15,0.556,8,,,4 (L),Cheasle FC,4,9
5,0,4,15,0.556,5,,,2 (W),Magpies United,5,9
4,1,4,13,0.5,2,,,1 (W),Thottenham Hotsluts,6,9
4,0,5,12,0.444,4,,,1 (L),Benford FC,7,9
4,0,5,12,0.444,7,,,1 (L),Seanhampton,8,9
2,1,6,7,0.278,1,,,1 (W),FPL 5: AutoPick Strikes Back,9,9
1,0,8,3,0.111,6,,,1 (W),Walton Goggonzola,10,9
9,0,1,27,0.9,9,,,9 (W),Mattchester United,1,10
7,0,3,21,0.7,3,,,1 (W),Morning Timber,2,10
6,0,4,18,0.6,10,,,1 (W),GAK-PO-TAY-TOES,3,10
6,0,4,18,0.6,8,,,1 (W),Cheasle FC,4,10
5,0,5,15,0.5,4,,,1 (W),Benford FC,5,10
5,0,5,15,0.5,5,,,1 (L),Magpies United,6,10
4,1,5,13,0.45,2,,,1 (L),Thottenham Hotsluts,7,10
4,0,6,12,0.4,7,,,2 (L),Seanhampton,8,10
2,1,7,7,0.25,1,,,1 (L),FPL 5: AutoPick Strikes Back,9,10
1,0,9,3,0.1,6,,,1 (L),Walton Goggonzola,10,10
10,0,1,30,0.909,9,,,10 (W),Mattchester United,1,11
7,0,4,21,0.636,3,,,1 (L),Morning Timber,2,11
7,0,4,21,0.636,8,,,2 (W),Cheasle FC,3,11
6,0,5,18,0.545,10,,,1 (L),GAK-PO-TAY-TOES,4,11
6,0,5,18,0.545,5,,,1 (W),Magpies United,5,11
5,0,6,15,0.455,4,,,1 (L),Benford FC,6,11
4,1,6,13,0.409,2,,,2 (L),Thottenham Hotsluts,7,11
4,0,7,12,0.364,7,,,3 (L),Seanhampton,8,11
3,1,7,10,0.318,1,,,1 (W),FPL 5: AutoPick Strikes Back,9,11
2,0,9,6,0.182,6,,,1 (W),Walton Goggonzola,10,11
11,0,1,33,0.917,9,,,11 (W),Mattchester United,1,12
8,0,4,24,0.667,8,,,3 (W),Cheasle FC,2,12
7,0,5,21,0.583,10,,,1 (W),GAK-PO-TAY-TOES,3,12
7,0,5,21,0.583,3,,,2 (L),Morning Timber,4,12
7,0,5,21,0.583,5,,,2 (W),Magpies United,5,12
5,1,6,16,0.458,2,,,1 (W),Thottenham Hotsluts,6,12
5,0,7,15,0.417,4,,,2 (L),Benford FC,7,12
4,0,8,12,0.333,7,,,4 (L),Seanhampton,8,12
3,1,8,10,0.292,1,,,1 (L),FPL 5: AutoPick Strikes Back,9,12
2,0,10,6,0.167,6,,,1 (L),Walton Goggonzola,10,12
12,0,1,36,0.923,9,,,12 (W),Mattchester United,1,13
9,0,4,27,0.692,8,,,4 (W),Cheasle FC,2,13
8,0,5,24,0.615,10,,,2 (W),GAK-PO-TAY-TOES,3,13
8,0,5,24,0.615,3,,,1 (W),Morning Timber,4,13
8,0,5,24,0.615,5,,,3 (W),Magpies United,5,13
5,1,7,16,0.423,2,,,1 (L),Thottenham Hotsluts,6,13
5,0,8,15,0.385,4,,,3 (L),Benford FC,7,13
4,0,9,12,0.308,7,,,5 (L),Seanhampton,8,13
3,1,9,10,0.269,1,,,2 (L),FPL 5: AutoPick Strikes Back,9,13
2,0,11,6,0.154,6,,,2 (L),Walton Goggonzola,10,13
13,0,1,39,0.929,9,,,13 (W),Mattchester United,1,14
9,0,5,27,0.643,10,,,3 (W),GAK-PO-TAY-TOES,2,14
9,0,5,27,0.643,8,,,1 (L),Cheasle FC,3,14
8,0,6,24,0.571,3,,,1 (L),Morning Timber,4,14
8,0,6,24,0.571,5,,,1 (L),Magpies United,5,14
6,0,8,18,0.429,4,,,1 (W),Benford FC,6,14
5,1,8,16,0.393,2,,,2 (L),Thottenham Hotsluts,7,14
5,0,9,15,0.357,7,,,1 (W),Seanhampton,8,14
3,1,10,10,0.25,1,,,3 (L),FPL 5: AutoPick Strikes Back,9,14
3,0,11,9,0.214,6,,,1 (W),Walton Goggonzola,10,14
14,0,1,42,0.933,9,,,14 (W),Mattchester United,1,15
10,0,5,30,0.667,10,,,4 (W),GAK-PO-TAY-TOES,2,15
9,0,6,27,0.6,5,,,1 (W),Magpies United,3,15
9,0,6,27,0.6,8,,,2 (L),Cheasle FC,4,15
8,0,7,24,0.533,3,,,2 (L),Morning Timber,5,15
6,1,8,19,0.433,2,,,1 (W),Thottenham Hotsluts,6,15
6,0,9,18,0.4,4,,,1 (L),Benford FC,7,15
6,0,9,18,0.4,7,,,2 (W),Seanhampton,8,15
3,1,11,10,0.233,1,,,4 (L),FPL 5: AutoPick Strikes Back,9,15
3,0,12,9,0.2,6,,,1 (L),Walton Goggonzola,10,15
15,0,1,45,0.938,9,,,15 (W),Mattchester United,1,16
11,0,5,33,0.688,10,,,5 (W),GAK-PO-TAY-TOES,2,16
10,0,6,30,0.625,8,,,1 (W),Cheasle FC,3,16
9,0,7,27,0.562,5,,,1 (L),Magpies United,4,16
8,0,8,24,0.5,3,,,3 (L),Morning Timber,5,16
7,0,9,21,0.438,4,,,1 (W),Benford FC,6,16
6,1,9,19,0.406,2,,,1 (L),Thottenham Hotsluts,7,16
6,0,10,18,0.375,7,,,1 (L),Seanhampton,8,16
4,1,11,13,0.281,1,,,1 (W),FPL 5: AutoPick Strikes Back,9,16
3,0,13,9,0.188,6,,,2 (L),Walton Goggonzola,10,16
15,0,2,45,0.882,9,,,1 (L),Mattchester United,1,17
12,0,5,36,0.706,10,,,6 (W),GAK-PO-TAY-TOES,2,17
11,0,6,33,0.647,8,,,2 (W),Cheasle FC,3,17
10,0,7,30,0.588,5,,,1 (W),Magpies United,4,17
8,0,9,24,0.471,3,,,4 (L),Morning Timber,5,17
8,0,9,24,0.471,4,,,2 (W),Benford FC,6,17
7,0,10,21,0.412,7,,,1 (W),Seanhampton,7,17
6,1,10,19,0.382,2,,,2 (L),Thottenham Hotsluts,8,17
4,1,12,13,0.265,1,,,1 (L),FPL 5: AutoPick Strikes Back,9,17
3,0,14,9,0.176,6,,,3 (L),Walton Goggonzola,10,17
15,0,3,45,0.833,9,,,2 (L),Mattchester United,1,18
13,0,5,39,0.722,10,,,7 (W),GAK-PO-TAY-TOES,2,18
12,0,6,36,0.667,8,,,3 (W),Cheasle FC,3,18
11,0,7,33,0.611,5,,,2 (W),Magpies United,4,18
9,0,9,27,0.5,4,,,3 (W),Benford FC,5,18
8,0,10,24,0.444,3,,,5 (L),Morning Timber,6,18
7,0,11,21,0.389,7,,,1 (L),Seanhampton,7,18
6,1,11,19,0.361,2,,,3 (L),Thottenham Hotsluts,8,18
5,1,12,16,0.306,1,,,1 (W),FPL 5: AutoPick Strikes Back,9,18
3,0,15,9,0.167,6,,,4 (L),Walton Goggonzola,10,18
15,0,4,45,0.789,9,,,3 (L),Mattchester United,1,19
13,0,6,39,0.684,10,,,1 (L),GAK-PO-TAY-TOES,2,19
12,0,7,36,0.632,8,,,1 (L),Cheasle FC,3,19
12,0,7,36,0.632,5,,,3 (W),Magpies United,4,19
9,0,10,27,0.474,4,,,1 (L),Benford FC,5,19
8,0,11,24,0.421,3,,,6 (L),Morning Timber,6,19
8,0,11,24,0.421,7,,,1 (W),Seanhampton,7,19
7,1,11,22,0.395,2,,,1 (W),Thottenham Hotsluts,8,19
6,1,12,19,0.342,1,,,2 (W),FPL 5: AutoPick Strikes Back,9,19
4,0,15,12,0.211,6,,,1 (W),Walton Goggonzola,10,19
16,0,4,48,0.8,9,,,1 (W),Mattchester United,1,20
14,0,6,42,0.7,10,,,1 (W),GAK-PO-TAY-TOES,2,20
13,0,7,39,0.65,8,,,1 (W),Cheasle FC,3,20
13,0,7,39,0.65,5,,,4 (W),Magpies United,4,20
9,0,11,27,0.45,4,,,2 (L),Benford FC,5,20
8,0,12,24,0.4,3,,,7 (L),Morning Timber,6,20
8,0,12,24,0.4,7,,,1 (L),Seanhampton,7,20
7,1,12,22,0.375,2,,,1 (L),Thottenham Hotsluts,8,20
6,1,13,19,0.325,1,,,1 (L),FPL 5: AutoPick Strikes Back,9,20
5,0,15,15,0.25,6,,,2 (W),Walton Goggonzola,10,20
17,0,4,51,0.81,9,,,2 (W),Mattchester United,1,21
14,1,6,43,0.69,10,,,2 (Und),GAK-PO-TAY-TOES,2,21
14,0,7,42,0.667,5,,,5 (W),Magpies United,3,21
13,0,8,39,0.619,8,,,1 (L),Cheasle FC,4,21
9,1,11,28,0.452,4,,,3 (Wnl),Benford FC,5,21
9,0,12,27,0.429,3,,,1 (W),Morning Timber,6,21
9,0,12,27,0.429,7,,,1 (W),Seanhampton,7,21
7,1,13,22,0.357,2,,,2 (L),Thottenham Hotsluts,8,21
6,1,14,19,0.31,1,,,2 (L),FPL 5: AutoPick Strikes Back,9,21
5,0,16,15,0.238,6,,,1 (L),Walton Goggonzola,10,21
18,0,4,54,0.818,9,,,3 (W),Mattchester United,1,22
15,1,6,46,0.705,10,,,3 (Und),GAK-PO-TAY-TOES,2,22
14,0,8,42,0.636,5,,,1 (L),Magpies United,3,22
14,0,8,42,0.636,8,,,1 (W),Cheasle FC,4,22
10,1,11,31,0.477,4,,,2 (Und),Benford FC,5,22
9,0,13,27,0.409,3,,,1 (L),Morning Timber,6,22
9,0,13,27,0.409,7,,,1 (L),Seanhampton,7,22
7,1,14,22,0.341,1,,,1 (W),FPL 5: AutoPick Strikes Back,8,22
7,1,14,22,0.341,2,,,3 (L),Thottenham Hotsluts,9,22
5,0,17,15,0.227,6,,,2 (L),Walton Goggonzola,10,22
18,1,4,55,0.804,9,,,4 (Und),Mattchester United,1,23
15,1,7,46,0.674,10,,,1 (L),GAK-PO-TAY-TOES,2,23
15,0,8,45,0.652,5,,,1 (W),Magpies United,3,23
15,0,8,45,0.652,8,,,2 (W),Cheasle FC,4,23
11,1,11,34,0.5,4,,,3 (Und),Benford FC,5,23
9,0,14,27,0.391,3,,,2 (L),Morning Timber,6,23
9,0,14,27,0.391,7,,,2 (L),Seanhampton,7,23
7,2,14,23,0.348,1,,,2 (Und),FPL 5: AutoPick Strikes Back,8,23
7,1,15,22,0.326,2,,,4 (L),Thottenham Hotsluts,9,23
6,0,17,18,0.261,6,,,1 (W),Walton Goggonzola,10,23
19,1,4,58,0.812,9,,,5 (Und),Mattchester United,1,24
16,0,8,48,0.667,5,,,2 (W),Magpies United,2,24
15,1,8,46,0.646,10,,,2 (L),GAK-PO-TAY-TOES,3,24
15,0,9,45,0.625,8,,,1 (L),Cheasle FC,4,24
11,1,12,34,0.479,4,,,1 (L),Benford FC,5,24
10,0,14,30,0.417,7,,,1 (W),Seanhampton,6,24
9,0,15,27,0.375,3,,,3 (L),Morning Timber,7,24
8,2,14,26,0.375,1,,,3 (Und),FPL 5: AutoPick Strikes Back,8,24
7,1,16,22,0.312,2,,,5 (L),Thottenham Hotsluts,9,24
7,0,17,21,0.292,6,,,2 (W),Walton Goggonzola,10,24
20,1,4,61,0.82,9,,,6 (Und),Mattchester United,1,25
16,1,8,49,0.66,10,,,1 (W),GAK-PO-TAY-TOES,2,25
16,0,9,48,0.64,8,,,1 (W),Cheasle FC,3,25
16,0,9,48,0.64,5,,,1 (L),Magpies United,4,25
12,1,12,37,0.5,4,,,1 (W),Benford FC,5,25
10,0,15,30,0.4,7,,,1 (L),Seanhampton,6,25
9,2,14,29,0.4,1,,,4 (Und),FPL 5: AutoPick Strikes Back,7,25
9,0,16,27,0.36,3,,,4 (L),Morning Timber,8,25
7,1,17,22,0.3,2,,,6 (L),Thottenham Hotsluts,9,25
7,0,18,21,0.28,6,,,1 (L),Walton Goggonzola,10,25
20,1,5,61,0.788,9,,,1 (L),Mattchester United,1,26
17,1,8,52,0.673,10,,,2 (W),GAK-PO-TAY-TOES,2,26
17,0,9,51,0.654,8,,,2 (W),Cheasle FC,3,26
16,0,10,48,0.615,5,,,2 (L),Magpies United,4,26
12,1,13,37,0.481,4,,,1 (L),Benford FC,5,26
11,0,15,33,0.423,7,,,1 (W),Seanhampton,6,26
10,2,14,32,0.423,1,,,5 (Und),FPL 5: AutoPick Strikes Back,7,26
9,0,17,27,0.346,3,,,5 (L),Morning Timber,8,26
8,0,18,24,0.308,6,,,1 (W),Walton Goggonzola,9,26
7,1,18,22,0.288,2,,,7 (L),Thottenham Hotsluts,10,26
21,1,5,64,0.796,9,,,1 (W),Mattchester United,1,27
18,0,9,54,0.667,8,,,3 (W),Cheasle FC,2,27
17,1,9,52,0.648,10,,,1 (L),GAK-PO-TAY-TOES,3,27
16,0,11,48,0.593,5,,,3 (L),Magpies United,4,27
12,1,14,37,0.463,4,,,2 (L),Benford FC,5,27
11,2,14,35,0.444,1,,,6 (Und),FPL 5: AutoPick Strikes Back,6,27
11,0,16,33,0.407,7,,,1 (L),Seanhampton,7,27
10,0,17,30,0.37,3,,,1 (W),Morning Timber,8,27
9,0,18,27,0.333,6,,,2 (W),Walton Goggonzola,9,27
7,1,19,22,0.278,2,,,8 (L),Thottenham Hotsluts,10,27
22,1,5,67,0.804,9,,,2 (W),Mattchester United,1,28
18,1,9,55,0.661,10,,,1 (W),GAK-PO-TAY-TOES,2,28
18,0,10,54,0.643,8,,,1 (L),Cheasle FC,3,28
16,0,12,48,0.571,5,,,4 (L),Magpies United,4,28
12,2,14,38,0.464,1,,,7 (Und),FPL 5: AutoPick Strikes Back,5,28
12,1,15,37,0.446,4,,,3 (L),Benford FC,6,28
12,0,16,36,0.429,7,,,1 (W),Seanhampton,7,28
11,0,17,33,0.393,3,,,2 (W),Morning Timber,8,28
9,0,19,27,0.321,6,,,1 (L),Walton Goggonzola,9,28
7,1,20,22,0.268,2,,,9 (L),Thottenham Hotsluts,10,28
23,1,5,70,0.81,9,,,3 (W),Mattchester United,1,29
19,1,9,58,0.672,10,,,2 (W),GAK-PO-TAY-TOES,2,29
19,0,10,57,0.655,8,,,1 (W),Cheasle FC,3,29
17,0,12,51,0.586,5,,,1 (W),Magpies United,4,29
12,2,15,38,0.448,1,,,1 (L),FPL 5: AutoPick Strikes Back,5,29
12,1,16,37,0.431,4,,,4 (L),Benford FC,6,29
12,0,17,36,0.414,7,,,1 (L),Seanhampton,7,29
11,0,18,33,0.379,3,,,1 (L),Morning Timber,8,29
10,0,19,30,0.345,6,,,1 (W),Walton Goggonzola,9,29
7,1,21,22,0.259,2,,,10 (L),Thottenham Hotsluts,10,29
24,1,5,73,0.817,9,,,4 (W),Mattchester United,1,30
20,0,10,60,0.667,8,,,2 (W),Cheasle FC,2,30
19,1,10,58,0.65,10,,,1 (L),GAK-PO-TAY-TOES,3,30
17,0,13,51,0.567,5,,,1 (L),Magpies United,4,30
13,2,15,41,0.467,1,,,1 (W),FPL 5: AutoPick Strikes Back,5,30
13,1,16,40,0.45,4,,,1 (W),Benford FC,6,30
12,0,18,36,0.4,3,,,1 (W),Morning Timber,7,30
12,0,18,36,0.4,7,,,2 (L),Seanhampton,8,30
10,0,20,30,0.333,6,,,1 (L),Walton Goggonzola,9,30
7,1,22,22,0.25,2,,,11 (L),Thottenham Hotsluts,10,30
25,1,5,76,0.823,9,,,5 (W),Mattchester United,1,31
21,0,10,63,0.677,8,,,3 (W),Cheasle FC,2,31
20,1,10,61,0.661,10,,,1 (W),GAK-PO-TAY-TOES,3,31
18,0,13,54,0.581,5,,,1 (W),Magpies United,4,31
14,2,15,44,0.484,1,,,2 (W),FPL 5: AutoPick Strikes Back,5,31
13,1,17,40,0.435,4,,,1 (L),Benford FC,6,31
12,0,19,36,0.387,3,,,1 (L),Morning Timber,7,31
12,0,19,36,0.387,7,,,3 (L),Seanhampton,8,31
10,0,21,30,0.323,6,,,2 (L),Walton Goggonzola,9,31
7,1,23,22,0.242,2,,,12 (L),Thottenham Hotsluts,10,31
26,1,5,79,0.828,9,,,6 (W),Mattchester United,1,32
22,0,10,66,0.688,8,,,4 (W),Cheasle FC,2,32
20,1,11,61,0.641,10,,,1 (L),GAK-PO-TAY-TOES,3,32
19,0,13,57,0.594,5,,,2 (W),Magpies United,4,32
14,2,16,44,0.469,1,,,1 (L),FPL 5: AutoPick Strikes Back,5,32
14,1,17,43,0.453,4,,,1 (W),Benford FC,6,32
12,0,20,36,0.375,3,,,2 (L),Morning Timber,7,32
12,0,20,36,0.375,7,,,4 (L),Seanhampton,8,32
11,0,21,33,0.344,6,,,1 (W),Walton Goggonzola,9,32
7,1,24,22,0.234,2,,,13 (L),Thottenham Hotsluts,10,32
26,1,6,79,0.803,9,,,1 (L),Mattchester United,1,33
23,0,10,69,0.697,8,,,5 (W),Cheasle FC,2,33
21,1,11,64,0.652,10,,,1 (W),GAK-PO-TAY-TOES,3,33
19,0,14,57,0.576,5,,,1 (L),Magpies United,4,33
15,2,16,47,0.485,1,,,1 (W),FPL 5: AutoPick Strikes Back,5,33
15,1,17,46,0.47,4,,,2 (W),Benford FC,6,33
13,0,20,39,0.394,7,,,1 (W),Seanhampton,7,33
12,0,21,36,0.364,3,,,3 (L),Morning Timber,8,33
11,0,22,33,0.333,6,,,1 (L),Walton Goggonzola,9,33
7,1,25,22,0.227,2,,,14 (L),Thottenham Hotsluts,10,33
26,1,7,79,0.779,9,,,2 (L),Mattchester United,1,34
23,0,11,69,0.676,8,,,1 (L),Cheasle FC,2,34
22,1,11,67,0.662,10,,,2 (W),GAK-PO-TAY-TOES,3,34
19,0,15,57,0.559,5,,,2 (L),Magpies United,4,34
16,2,16,50,0.5,1,,,2 (W),FPL 5: AutoPick Strikes Back,5,34
16,1,17,49,0.485,4,,,3 (W),Benford FC,6,34
14,0,20,42,0.412,7,,,2 (W),Seanhampton,7,34
13,0,21,39,0.382,3,,,1 (W),Morning Timber,8,34
11,0,23,33,0.324,6,,,2 (L),Walton Goggonzola,9,34
7,1,26,22,0.221,2,,,15 (L),Thottenham Hotsluts,10,34
27,1,7,82,0.786,9,,,1 (W),Mattchester United,1,35
23,1,11,70,0.671,10,,,3 (W),GAK-PO-TAY-TOES,2,35
23,0,12,69,0.657,8,,,2 (L),Cheasle FC,3,35
20,0,15,60,0.571,5,,,1 (W),Magpies United,4,35
17,1,17,52,0.5,4,,,4 (W),Benford FC,5,35
16,2,17,50,0.486,1,,,1 (L),FPL 5: AutoPick Strikes Back,6,35
15,0,20,45,0.429,7,,,3 (W),Seanhampton,7,35
13,0,22,39,0.371,3,,,1 (L),Morning Timber,8,35
11,0,24,33,0.314,6,,,3 (L),Walton Goggonzola,9,35
7,1,27,22,0.214,2,,,16 (L),Thottenham Hotsluts,10,35
28,1,7,85,0.792,9,,,2 (W),Mattchester United,1,36
24,0,12,72,0.667,8,,,1 (W),Cheasle FC,2,36
23,1,12,70,0.653,10,,,1 (L),GAK-PO-TAY-TOES,3,36
21,0,15,63,0.583,5,,,2 (W),Magpies United,4,36
18,1,17,55,0.514,4,,,5 (W),Benford FC,5,36
16,2,18,50,0.472,1,,,2 (L),FPL 5: AutoPick Strikes Back,6,36
16,0,20,48,0.444,7,,,4 (W),Seanhampton,7,36
13,0,23,39,0.361,3,,,2 (L),Morning Timber,8,36
11,0,25,33,0.306,6,,,4 (L),Walton Goggonzola,9,36
7,1,28,22,0.208,2,,,17 (L),Thottenham Hotsluts,10,36
28,1,7,85,0.792,9,,,2 (W),Mattchester United,1,37
24,0,12,72,0.667,8,,,1 (W),Cheasle FC,2,37
23,1,12,70,0.653,10,,,1 (L),GAK-PO-TAY-TOES,3,37
21,0,15,63,0.583,5,,,2 (W),Magpies United,4,37
18,1,17,55,0.514,4,,,5 (W),Benford FC,5,37
16,2,18,50,0.472,1,,,2 (L),FPL 5: AutoPick Strikes Back,6,37
16,0,20,48,0.444,7,,,4 (W),Seanhampton,7,37
13,0,23,39,0.361,3,,,2 (L),Morning Timber,8,37
11,0,25,33,0.306,6,,,4 (L),Walton Goggonzola,9,37
7,1,28,22,0.208,2,,,17 (L),Thottenham Hotsluts,10,37
28,1,7,85,0.792,9,,,2 (W),Mattchester United,1,38
24,0,12,72,0.667,8,,,1 (W),Cheasle FC,2,38
23,1,12,70,0.653,10,,,1 (L),GAK-PO-TAY-TOES,3,38
21,0,15,63,0.583,5,,,2 (W),Magpies United,4,38
18,1,17,55,0.514,4,,,5 (W),Benford FC,5,38
16,2,18,50,0.472,1,,,2 (L),FPL 5: AutoPick Strikes Back,6,38
16,0,20,48,0.444,7,,,4 (W),Seanhampton,7,38
13,0,23,39,0.361,3,,,2 (L),Morning Timber,8,38
11,0,25,33,0.306,6,,,4 (L),Walton Goggonzola,9,38
7,1,28,22,0.208,2,,,17 (L),Thottenham Hotsluts,10,38
