win,draw,loss,points,win_pct,for,against,streak,team,rank,gw,season
3,1,5,10,0.389,371.7,418.8,1 (L),Bench Warmers FC,7,9,12
1,1,7,4,0.167,328.4,424.5,8 (Wnl),Seanhampton FC,8,9,12
8,1,1,25,0.85,538.9,382.0,6 (Und),Sa Lah Land,1,10,12
6,1,3,19,0.65,496.8,386.4,1 (W),I_De_Zerbit,2,10,12
5,1,4,16,0.55,512.8,439.5,1 (L),RATABE,3,10,12
5,1,4,16,0.55,424.4,465.9,4 (Und),HappyHaalandays,4,10,12
4,1,5,13,0.45,434.6,465.1,1 (W),Bench Warmers FC,5,10,12
4,1,5,13,0.45,343.8,443.6,1 (L),Mo Mané Mo Problems,6,10,12
3,1,6,10,0.35,442.3,482.1,4 (Wnl),Benford F.C.,7,10,12
1,1,8,4,0.15,368.0,497.0,9 (Wnl),Seanhampton FC,8,10,12
9,1,1,28,0.864,607.4,433.4,7 (Und),Sa Lah Land,1,11,12
6,1,4,19,0.591,566.9,478.3,1 (W),RATABE,2,11,12
6,1,4,19,0.591,548.2,454.9,1 (L),I_De_Zerbit,3,11,12
5,1,5,16,0.5,490.4,517.4,2 (W),Bench Warmers FC,4,11,12
5,1,5,16,0.5,450.2,514.7,1 (L),HappyHaalandays,5,11,12
4,1,6,13,0.409,382.6,497.7,2 (L),Mo Mané Mo Problems,6,11,12
3,1,7,10,0.318,494.6,537.9,5 (Wnl),Benford F.C.,7,11,12
2,1,8,7,0.227,416.8,522.8,1 (W),Seanhampton FC,8,11,12
10,1,1,31,0.875,660.1,483.9,8 (Und),Sa Lah Land,1,12,12
7,1,4,22,0.625,599.9,500.4,1 (W),I_De_Zerbit,2,12,12
6,1,5,19,0.542,612.4,530.0,1 (L),RATABE,3,12,12
6,1,5,19,0.542,542.9,549.9,3 (W),Bench Warmers FC,4,12,12
5,1,6,16,0.458,482.7,567.2,2 (L),HappyHaalandays,5,12,12
5,1,6,16,0.458,439.6,539.5,1 (W),Mo Mané Mo Problems,6,12,12
3,1,8,10,0.292,536.4,594.9,6 (Wnl),Benford F.C.,7,12,12
2,1,9,7,0.208,467.3,575.5,1 (L),Seanhampton FC,8,12,12
10,1,2,31,0.808,695.8,545.1,1 (L),Sa Lah Land,1,13,12
8,1,4,25,0.654,645.3,537.9,2 (W),I_De_Zerbit,2,13,12
7,1,5,22,0.577,672.2,569.4,1 (W),RATABE,3,13,12
6,1,6,19,0.5,582.6,592.1,1 (L),Bench Warmers FC,4,13,12
6,1,6,19,0.5,543.9,602.9,1 (W),HappyHaalandays,5,13,12
6,1,6,19,0.5,481.8,579.2,2 (W),Mo Mané Mo Problems,6,13,12
3,1,9,10,0.269,573.9,640.3,7 (Wnl),Benford F.C.,7,13,12
2,1,10,7,0.192,506.7,635.3,2 (L),Seanhampton FC,8,13,12
11,1,2,34,0.821,770.1,615.4,1 (W),Sa Lah Land,1,14,12
8,1,5,25,0.607,681.8,599.5,1 (L),I_De_Zerbit,2,14,12
7,1,6,22,0.536,742.5,643.7,1 (L),RATABE,3,14,12
7,1,6,22,0.536,644.2,628.6,1 (W),Bench Warmers FC,4,14,12
7,1,6,22,0.536,603.3,652.4,2 (W),HappyHaalandays,5,14,12
6,1,7,19,0.464,531.3,638.6,1 (L),Mo Mané Mo Problems,6,14,12
4,1,9,13,0.321,640.1,689.2,1 (W),Benford F.C.,7,14,12
2,1,11,7,0.179,555.6,701.5,3 (L),Seanhampton FC,8,14,12
12,1,2,37,0.833,839.8,659.4,2 (W),Sa Lah Land,1,15,12
