W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw
7,0,2,21,0.778,4,1444.5,1263.5,5 (W),Cheasle FC,1,9
7,0,2,21,0.778,6,1291.0,1178.0,1 (W),HappyHaalandays,2,9
6,0,3,18,0.667,7,1323.0,1116.5,5 (W),TAAco Bell,3,9
5,0,4,15,0.556,3,1316.0,1326.5,1 (W),RATABE,4,9
5,0,4,15,0.556,2,1246.5,1276.0,3 (L),New Zac on the Block,5,9
4,0,5,12,0.444,1,1225.0,1229.0,2 (L),Magpies United,6,9
4,0,5,12,0.444,8,1095.5,1176.0,1 (L),Benford FC,7,9
3,0,6,9,0.333,5,1120.5,1271.0,1 (L),Thottenham Hotsluts,8,9
2,0,7,6,0.222,9,1250.5,1401.0,1 (L),Concept of a FPLan,9,9
2,0,7,6,0.222,10,1202.5,1277.5,1 (W),Seanhampton,10,9
7,0,3,21,0.7,4,1583.0,1409.5,1 (L),Cheasle FC,1,10
7,0,3,21,0.7,7,1469.0,1255.0,6 (W),TAAco Bell,2,10
7,0,3,21,0.7,6,1381.5,1329.0,1 (L),HappyHaalandays,3,10
6,0,4,18,0.6,2,1397.5,1366.5,1 (W),New Zac on the Block,4,10
5,0,5,15,0.5,3,1448.5,1476.5,1 (L),RATABE,5,10
4,0,6,12,0.4,1,1342.0,1347.5,3 (L),Magpies United,6,10
4,0,6,12,0.4,5,1311.0,1421.5,1 (W),Thottenham Hotsluts,7,10
4,0,6,12,0.4,8,1246.0,1366.5,2 (L),Benford FC,8,10
3,0,7,9,0.3,9,1400.5,1533.5,1 (W),Concept of a FPLan,9,10
3,0,7,9,0.3,10,1321.0,1394.5,2 (W),Seanhampton,10,10
8,0,3,24,0.727,6,1527.5,1465.5,1 (W),HappyHaalandays,1,11
7,0,4,21,0.636,4,1719.5,1555.5,2 (L),Cheasle FC,2,11
7,0,4,21,0.636,7,1606.0,1394.0,1 (L),TAAco Bell,3,11
7,0,4,21,0.636,2,1573.5,1511.5,2 (W),New Zac on the Block,4,11
5,0,6,15,0.455,3,1573.5,1603.0,2 (L),RATABE,5,11
5,0,6,15,0.455,5,1437.5,1546.5,2 (W),Thottenham Hotsluts,6,11
5,0,6,15,0.455,8,1436.5,1466.5,1 (W),Benford FC,7,11
4,0,7,12,0.364,9,1539.5,1670.5,2 (W),Concept of a FPLan,8,11
4,0,7,12,0.364,1,1442.0,1538.0,4 (L),Magpies United,9,11
3,0,8,9,0.273,10,1466.0,1570.5,1 (L),Seanhampton,10,11
9,0,3,27,0.75,6,1692.0,1604.0,2 (W),HappyHaalandays,1,12
8,0,4,24,0.667,4,1855.5,1687.0,1 (W),Cheasle FC,2,12
8,0,4,24,0.667,7,1763.0,1519.0,1 (W),TAAco Bell,3,12
8,0,4,24,0.667,2,1726.0,1591.5,3 (W),New Zac on the Block,4,12
6,0,6,18,0.5,5,1592.0,1675.0,3 (W),Thottenham Hotsluts,5,12
5,0,7,15,0.417,3,1698.5,1760.0,3 (L),RATABE,6,12
5,0,7,15,0.417,8,1516.5,1619.0,1 (L),Benford FC,7,12
4,0,8,12,0.333,9,1678.0,1835.0,1 (L),Concept of a FPLan,8,12
4,0,8,12,0.333,1,1570.5,1692.5,5 (L),Magpies United,9,12
3,0,9,9,0.25,10,1597.5,1706.5,2 (L),Seanhampton,10,12
9,0,4,27,0.692,7,1947.0,1663.5,2 (W),TAAco Bell,1,13
9,0,4,27,0.692,6,1836.5,1788.0,1 (L),HappyHaalandays,2,13
8,0,5,24,0.615,4,1967.0,1852.5,1 (L),Cheasle FC,3,13
8,0,5,24,0.615,2,1828.0,1695.5,1 (L),New Zac on the Block,4,13
7,0,6,21,0.538,5,1696.0,1777.0,4 (W),Thottenham Hotsluts,5,13
6,0,7,18,0.462,3,1829.5,1885.0,1 (W),RATABE,6,13
6,0,7,18,0.462,8,1682.0,1730.5,1 (W),Benford FC,7,13
4,0,9,12,0.308,10,1786.0,1813.5,1 (W),Seanhampton,8,13
4,0,9,12,0.308,9,1785.0,2023.5,2 (L),Concept of a FPLan,9,13
4,0,9,12,0.308,1,1695.5,1823.5,6 (L),Magpies United,10,13
10,0,4,30,0.714,6,2035.5,1954.0,1 (W),HappyHaalandays,1,14
9,0,5,27,0.643,4,2190.0,1968.5,1 (W),Cheasle FC,2,14
9,0,5,27,0.643,7,2063.5,1825.5,1 (L),TAAco Bell,3,14
9,0,5,27,0.643,2,2009.0,1772.5,1 (W),New Zac on the Block,4,14
7,0,7,21,0.5,8,1848.5,1881.5,2 (W),Benford FC,5,14
7,0,7,21,0.5,5,1812.0,2000.0,1 (L),Thottenham Hotsluts,6,14
6,0,8,18,0.429,3,1995.5,2084.0,1 (L),RATABE,7,14
5,0,9,15,0.357,10,1948.0,1930.0,2 (W),Seanhampton,8,14
4,0,10,12,0.286,9,1936.0,2190.0,3 (L),Concept of a FPLan,9,14
4,0,10,12,0.286,1,1772.5,2004.5,7 (L),Magpies United,10,14
10,0,5,30,0.667,4,2340.5,2037.0,2 (W),Cheasle FC,1,15
10,0,5,30,0.667,7,2210.5,1941.0,1 (W),TAAco Bell,2,15
10,0,5,30,0.667,6,2135.5,2056.5,1 (L),HappyHaalandays,3,15
9,0,6,27,0.6,2,2119.0,1922.0,1 (L),New Zac on the Block,4,15
8,0,7,24,0.533,5,1945.5,2128.5,1 (W),Thottenham Hotsluts,5,15
7,0,8,21,0.467,3,2145.0,2194.0,1 (W),RATABE,6,15
7,0,8,21,0.467,8,1964.0,2028.5,1 (L),Benford FC,7,15
6,0,9,18,0.4,10,2050.5,2030.0,3 (W),Seanhampton,8,15
4,0,11,12,0.267,9,2064.5,2323.5,4 (L),Concept of a FPLan,9,15
4,0,11,12,0.267,1,1841.0,2155.0,8 (L),Magpies United,10,15
11,0,5,33,0.688,4,2515.0,2178.0,3 (W),Cheasle FC,1,16
11,0,5,33,0.688,6,2305.0,2209.5,1 (W),HappyHaalandays,2,16
10,0,6,30,0.625,7,2342.5,2100.5,1 (L),TAAco Bell,3,16
9,0,7,27,0.562,2,2260.0,2096.5,2 (L),New Zac on the Block,4,16
9,0,7,27,0.562,5,2105.0,2260.5,2 (W),Thottenham Hotsluts,5,16
8,0,8,24,0.5,3,2299.0,2283.5,2 (W),RATABE,6,16
7,0,9,21,0.438,8,2117.0,2198.0,2 (L),Benford FC,7,16
6,0,10,18,0.375,10,2140.0,2184.0,1 (L),Seanhampton,8,16
5,0,11,15,0.312,9,2215.0,2426.5,1 (W),Concept of a FPLan,9,16
4,0,12,12,0.25,1,1944.0,2305.5,9 (L),Magpies United,10,16
12,0,5,36,0.706,4,2694.0,2307.0,4 (W),Cheasle FC,1,17
11,0,6,33,0.647,7,2529.5,2213.0,1 (W),TAAco Bell,2,17
11,0,6,33,0.647,6,2431.5,2348.5,1 (L),HappyHaalandays,3,17
10,0,7,30,0.588,2,2451.5,2276.5,1 (W),New Zac on the Block,4,17
10,0,7,30,0.588,5,2244.0,2387.0,3 (W),Thottenham Hotsluts,5,17
8,0,9,24,0.471,3,2428.0,2462.5,1 (L),RATABE,6,17
8,0,9,24,0.471,8,2314.5,2356.5,1 (W),Benford FC,7,17
6,0,11,18,0.353,10,2298.5,2381.5,2 (L),Seanhampton,8,17
5,0,12,15,0.294,9,2395.0,2618.0,1 (L),Concept of a FPLan,9,17
4,0,13,12,0.235,1,2056.5,2492.5,10 (L),Magpies United,10,17
13,0,5,39,0.722,4,2835.5,2441.5,5 (W),Cheasle FC,1,18
12,0,6,36,0.667,7,2708.5,2345.0,2 (W),TAAco Bell,2,18
12,0,6,36,0.667,6,2595.5,2471.0,1 (W),HappyHaalandays,3,18
11,0,7,33,0.611,5,2375.5,2518.0,4 (W),Thottenham Hotsluts,4,18
10,0,8,30,0.556,2,2583.5,2455.5,1 (L),New Zac on the Block,5,18
9,0,9,27,0.5,3,2580.5,2593.0,1 (W),RATABE,6,18
8,0,10,24,0.444,8,2445.0,2509.0,1 (L),Benford FC,7,18
6,0,12,18,0.333,10,2429.5,2513.0,3 (L),Seanhampton,8,18
5,0,13,15,0.278,9,2529.5,2759.5,2 (L),Concept of a FPLan,9,18
4,0,14,12,0.222,1,2179.0,2656.5,11 (L),Magpies United,10,18
13,0,6,39,0.684,4,2958.5,2614.5,1 (L),Cheasle FC,1,19
13,0,6,39,0.684,7,2881.5,2468.0,3 (W),TAAco Bell,2,19
13,0,6,39,0.684,6,2731.5,2595.5,2 (W),HappyHaalandays,3,19
11,0,8,33,0.579,5,2471.5,2682.5,1 (L),Thottenham Hotsluts,4,19
10,0,9,30,0.526,2,2708.0,2591.5,2 (L),New Zac on the Block,5,19
9,0,10,27,0.474,3,2685.0,2746.0,1 (L),RATABE,6,19
9,0,10,27,0.474,8,2609.5,2605.0,1 (W),Benford FC,7,19
7,0,12,21,0.368,10,2584.0,2664.0,1 (W),Seanhampton,8,19
6,0,13,18,0.316,9,2682.5,2864.0,1 (W),Concept of a FPLan,9,19
4,0,15,12,0.211,1,2330.0,2811.0,12 (L),Magpies United,10,19
14,0,6,42,0.7,4,3125.0,2694.0,1 (W),Cheasle FC,1,20
14,0,6,42,0.7,7,3057.0,2614.0,4 (W),TAAco Bell,2,20
13,0,7,39,0.65,6,2811.0,2762.0,1 (L),HappyHaalandays,3,20
11,0,9,33,0.55,2,2875.5,2741.0,1 (W),New Zac on the Block,4,20
11,0,9,33,0.55,5,2572.0,2814.5,2 (L),Thottenham Hotsluts,5,20
10,0,10,30,0.5,3,2817.0,2846.5,1 (W),RATABE,6,20
10,0,10,30,0.5,8,2804.5,2747.0,2 (W),Benford FC,7,20
7,0,13,21,0.35,10,2733.5,2831.5,1 (L),Seanhampton,8,20
6,0,14,18,0.3,9,2828.5,3039.5,1 (L),Concept of a FPLan,9,20
4,0,16,12,0.2,1,2472.0,3006.0,13 (L),Magpies United,10,20
15,0,6,45,0.714,4,3310.5,2837.0,2 (W),Cheasle FC,1,21
15,0,6,45,0.714,7,3211.0,2746.5,5 (W),TAAco Bell,2,21
13,0,8,39,0.619,6,2971.0,2925.0,2 (L),HappyHaalandays,3,21
12,0,9,36,0.571,5,2749.0,2973.0,1 (W),Thottenham Hotsluts,4,21
11,0,10,33,0.524,2,3013.0,2890.5,1 (L),New Zac on the Block,5,21
11,0,10,33,0.524,8,2954.0,2884.5,3 (W),Benford FC,6,21
10,0,11,30,0.476,3,2949.5,3000.5,1 (L),RATABE,7,21
7,0,14,21,0.333,9,2991.5,3199.5,1 (W),Concept of a FPLan,8,21
7,0,14,21,0.333,10,2876.5,3017.0,2 (L),Seanhampton,9,21
4,0,17,12,0.19,1,2630.5,3183.0,14 (L),Magpies United,10,21
