gw,rank,team,win,draw,loss,points,win_pct,for,against,streak
9,2,Chicken ASzobo,7,0,2,21,0.778,1413.5,1240.75,3 (W)
9,3,Cursed BrunOnana,5,0,4,15,0.556,1326.0,1284.25,1 (W)
9,4,The ThiaGOAT,5,0,4,15,0.556,1294.75,1243.25,2 (L)
9,5,Cheasle FC,5,0,4,15,0.556,1071.75,1066.5,3 (W)
9,6,Thottenham Hotsluts,4,0,5,12,0.444,1209.0,1198.25,4 (L)
9,7,Zenright,4,0,5,12,0.444,1150.75,1135.5,4 (W)
9,8,HappyHaalandays,4,0,5,12,0.444,1120.0,1258.5,3 (L)
9,9,Benford FC,2,0,7,6,0.222,1008.0,1206.25,6 (L)
9,10,RATABE,1,0,8,3,0.111,1127.5,1329.0,1 (L)
10,1,Chicken ASzobo,8,0,2,24,0.8,1578.75,1349.0,4 (W)
10,2,Seanhampton FC,8,0,2,24,0.8,1478.5,1247.5,1 (L)
10,3,Cursed BrunOnana,5,0,5,15,0.5,1461.0,1421.25,1 (L)
10,4,The ThiaGOAT,5,0,5,15,0.5,1434.75,1394.25,3 (L)
10,5,Thottenham Hotsluts,5,0,5,15,0.5,1346.0,1333.25,1 (W)
10,6,Zenright,5,0,5,15,0.5,1301.75,1275.5,5 (W)
10,7,HappyHaalandays,5,0,5,15,0.5,1244.25,1381.0,1 (W)
10,8,Cheasle FC,5,0,5,15,0.5,1180.0,1231.75,1 (L)
10,9,Benford FC,3,0,7,9,0.3,1153.75,1342.0,1 (W)
10,10,RATABE,1,0,9,3,0.1,1250.0,1453.25,2 (L)
11,1,Chicken ASzobo,8,0,3,24,0.727,1720.75,1493.0,1 (L)
11,2,Seanhampton FC,8,0,3,24,0.727,1575.0,1378.75,2 (L)
11,3,Cursed BrunOnana,6,0,5,18,0.545,1605.0,1563.25,1 (W)
11,4,Zenright,6,0,5,18,0.545,1402.75,1358.25,6 (W)
11,5,HappyHaalandays,6,0,5,18,0.545,1400.75,1474.0,2 (W)
11,6,Cheasle FC,6,0,5,18,0.545,1311.25,1328.25,1 (W)
11,7,The ThiaGOAT,5,0,6,15,0.455,1511.75,1534.25,4 (L)
11,8,Thottenham Hotsluts,5,0,6,15,0.455,1439.0,1489.75,1 (L)
11,9,Benford FC,3,0,8,9,0.273,1236.5,1443.0,1 (L)
11,10,RATABE,2,0,9,6,0.182,1390.0,1530.25,1 (W)
12,1,Seanhampton FC,9,0,3,27,0.75,1697.25,1482.5,1 (W)
12,2,Chicken ASzobo,8,0,4,24,0.667,1824.5,1615.25,2 (L)
12,3,Cursed BrunOnana,7,0,5,21,0.583,1818.5,1704.0,2 (W)
12,4,Zenright,7,0,5,21,0.583,1569.5,1520.5,7 (W)
12,5,The ThiaGOAT,6,0,6,18,0.5,1609.5,1630.25,1 (W)
12,6,HappyHaalandays,6,0,6,18,0.5,1541.5,1687.5,1 (L)
12,7,Cheasle FC,6,0,6,18,0.5,1473.5,1495.0,1 (L)
12,8,Thottenham Hotsluts,5,0,7,15,0.417,1535.0,1587.5,2 (L)
12,9,RATABE,3,0,9,9,0.25,1524.0,1629.0,2 (W)
12,10,Benford FC,3,0,9,9,0.25,1335.25,1577.0,2 (L)
13,1,Chicken ASzobo,9,0,4,27,0.692,1995.25,1747.25,1 (W)
13,2,Seanhampton FC,9,0,4,27,0.692,1838.75,1664.0,1 (L)
13,3,Zenright,8,0,5,24,0.615,1751.0,1662.0,8 (W)
13,4,Cursed BrunOnana,7,0,6,21,0.538,1918.5,1804.5,1 (L)
13,5,The ThiaGOAT,7,0,6,21,0.538,1710.0,1730.25,2 (W)
13,6,HappyHaalandays,6,0,7,18,0.462,1673.5,1858.25,2 (L)
13,7,Thottenham Hotsluts,6,0,7,18,0.462,1667.0,1702.5,1 (W)
