gw,rank,team,win,draw,loss,points,win_pct,for,against,streak
35,6,Zenright,17,0,18,51,0.486,4451.0,4612.75,1 (L)
35,7,Seanhampton FC,16,1,18,49,0.471,4841.5,5074.75,3 (Wnl)
35,8,The ThiaGOAT,15,0,20,45,0.429,4477.75,4797.0,5 (L)
35,9,RATABE,15,0,20,45,0.429,4375.0,4553.0,1 (W)
35,10,Benford FC,12,0,23,36,0.343,4107.5,4585.0,1 (L)
36,1,Chicken ASzobo,22,0,14,66,0.611,5472.75,4820.25,4 (W)
36,2,Cheasle FC,22,0,14,66,0.611,5441.75,5048.0,4 (W)
36,3,Cursed BrunOnana,21,0,15,63,0.583,5564.5,4961.25,3 (W)
36,4,HappyHaalandays,20,0,16,60,0.556,5139.5,5085.75,1 (L)
36,5,Zenright,18,0,18,54,0.5,4613.0,4773.0,1 (W)
36,6,Seanhampton FC,17,1,18,52,0.486,5004.5,5202.75,1 (W)
36,7,Thottenham Hotsluts,17,1,18,52,0.486,4752.5,4979.75,4 (Wnl)
36,8,The ThiaGOAT,15,0,21,45,0.417,4605.75,4960.0,6 (L)
36,9,RATABE,15,0,21,45,0.417,4527.5,4733.25,1 (L)
36,10,Benford FC,12,0,24,36,0.333,4276.0,4833.75,2 (L)
37,1,Chicken ASzobo,22,0,14,66,0.611,5472.75,4820.25,4 (W)
37,2,Cheasle FC,22,0,14,66,0.611,5441.75,5048.0,4 (W)
37,3,Cursed BrunOnana,21,0,15,63,0.583,5564.5,4961.25,3 (W)
37,4,HappyHaalandays,20,0,16,60,0.556,5139.5,5085.75,1 (L)
37,5,Zenright,18,0,18,54,0.5,4613.0,4773.0,1 (W)
37,6,Seanhampton FC,17,1,18,52,0.486,5004.5,5202.75,1 (W)
37,7,Thottenham Hotsluts,17,1,18,52,0.486,4752.5,4979.75,4 (Wnl)
37,8,The ThiaGOAT,15,0,21,45,0.417,4605.75,4960.0,6 (L)
37,9,RATABE,15,0,21,45,0.417,4527.5,4733.25,1 (L)
37,10,Benford FC,12,0,24,36,0.333,4276.0,4833.75,2 (L)
38,1,Chicken ASzobo,22,0,14,66,0.611,5472.75,4820.25,4 (W)
38,2,Cheasle FC,22,0,14,66,0.611,5441.75,5048.0,4 (W)
38,3,Cursed BrunOnana,21,0,15,63,0.583,5564.5,4961.25,3 (W)
38,4,HappyHaalandays,20,0,16,60,0.556,5139.5,5085.75,1 (L)
38,5,Zenright,18,0,18,54,0.5,4613.0,4773.0,1 (W)
38,6,Seanhampton FC,17,1,18,52,0.486,5004.5,5202.75,1 (W)
38,7,Thottenham Hotsluts,17,1,18,52,0.486,4752.5,4979.75,4 (Wnl)
38,8,The ThiaGOAT,15,0,21,45,0.417,4605.75,4960.0,6 (L)
38,9,RATABE,15,0,21,45,0.417,4527.5,4733.25,1 (L)
38,10,Benford FC,12,0,24,36,0.333,4276.0,4833.75,2 (L)
